epoch,step,train_loss,val_loss,train_perplexity,val_perplexity
1,20,8.119528579711915,8.103824043273926,3359.436665125087,3307.0903825111695
1,40,7.6669095993042,7.639038562774658,2136.4686881557363,2077.7452343565637
1,60,7.083011341094971,7.048006057739258,1191.551288692523,1150.562299264228
1,80,6.628109645843506,6.616526508331299,756.0516136277661,747.344687929422
1,100,6.301286602020264,6.2989246368408205,545.2730083661689,543.9866123165098
1,120,6.07148962020874,6.066860485076904,433.32569175250757,431.3244042581932
1,140,5.939040756225586,5.919252109527588,379.57065406472213,372.1332948300132
1,160,5.784218692779541,5.820529365539551,325.1279160626893,337.1504822458683
1,180,5.776879215240479,5.760148334503174,322.75038262478216,317.3954061160536
1,200,5.713793087005615,5.710774993896484,303.0182658439032,302.1051071958852
1,220,5.690106010437011,5.657525157928466,295.9249901152334,286.438873659904
1,240,5.647340393066406,5.603547191619873,283.53636684858895,271.38736505518193
1,260,5.55331506729126,5.56218376159668,258.09173075473484,260.3908474295456
1,280,5.5754008293151855,5.519827651977539,263.8552953810843,249.59201679204386
1,300,5.367745971679687,5.478660583496094,214.37910612651288,239.5256677868479
1,320,5.539063739776611,5.434049129486084,254.43966616628998,229.074924092531
1,340,5.467035007476807,5.390001583099365,236.75716781196778,219.2037325749697
1,360,5.417967796325684,5.3422857284545895,225.42055622718516,208.98985883240823
1,380,5.365897369384766,5.295828723907471,213.98317049545588,199.50289029265844
2,400,5.271194076538086,5.259000968933106,194.64824864092645,192.28929232999278
2,420,5.4411928176879885,5.22359266281128,230.7172229765215,185.59978516054804
2,440,5.1974037170410154,5.179786205291748,180.80221826380344,177.64482740911606
2,460,5.210009765625,5.140881538391113,183.09584623036088,170.86632717702216
2,480,5.153623867034912,5.108996105194092,173.0574927000177,165.50412271873827
2,500,5.157671070098877,5.080447959899902,173.75931075683744,160.84609239212682
2,520,4.993390941619873,5.051888561248779,147.43552205840635,156.31740088182505
2,540,5.168552589416504,5.016781044006348,175.66040066818735,150.92470106674932
2,560,4.964220237731934,4.987300300598145,143.1968472297187,146.5402743035483
2,580,5.157731056213379,4.953936386108398,173.76973421537662,141.73177828748598
2,600,4.952343845367432,4.926339626312256,141.50624428997966,137.87391751158245
2,620,5.038491344451904,4.8992101669311525,154.23714868242587,134.1837550525243
2,640,4.8587569236755375,4.878385829925537,128.86391482176097,131.41836099988367
2,660,4.957129764556885,4.850670528411865,142.18510493026105,127.82607212975591
2,680,4.874816417694092,4.831358814239502,130.9501108806985,125.38121473668399
2,700,4.862527561187744,4.810348415374756,129.35073116014706,122.77438655003854
2,720,4.726824569702148,4.789163208007812,112.9363707830772,120.20074354828569
2,740,4.750111389160156,4.768374347686768,115.59716008065361,117.72770200307292
2,760,4.781973934173584,4.753689479827881,119.33968638439724,116.01151806349334
3,780,4.764394664764405,4.734719371795654,117.26011412081017,113.83150990332832
3,800,4.840529346466065,4.716163921356201,126.5363155564874,111.7387906808617
3,820,4.832926654815674,4.702151966094971,125.57794667449596,110.18402980256577
3,840,4.643658542633057,4.677327346801758,103.92386280632282,107.48242510445294
3,860,4.79639778137207,4.667925643920898,121.07349784181584,106.47664272085686
3,880,4.669322967529297,4.652603435516357,106.62552904443598,104.85762058288135
3,900,4.64421968460083,4.639545440673828,103.98219521204634,103.49729123017701
3,920,4.643659496307373,4.626624393463135,103.9239619158889,102.16860036843289
3,940,4.8458717346191404,4.60735445022583,127.21413063313577,100.21866514806754
3,960,4.6335693359375,4.584527015686035,102.88062504400854,97.95684413249421
3,980,4.607040596008301,4.579934215545654,100.18721603281259,97.50797948683696
3,1000,4.565060329437256,4.572940158843994,96.0683895935872,96.82838248971638
3,1020,4.534570407867432,4.561050987243652,93.18347581661897,95.68398965609234
3,1040,4.563891220092773,4.554608726501465,95.95614076996351,95.06954976195526
3,1060,4.53526611328125,4.5374305725097654,93.24832662113522,93.45037740869779
3,1080,4.518558025360107,4.517446422576905,91.70326880541775,91.60138783266214
3,1100,4.543570041656494,4.502488994598389,94.02587794374016,90.24146251787266
3,1120,4.557634735107422,4.488284492492676,95.35766674007635,88.96868843492435
3,1140,4.45949878692627,4.477564334869385,86.44417128770135,88.02002407227968
3,1149,4.560237312316895,4.481327056884766,95.60616565882846,88.35184283403792
